,fold,n.epoch,train_loss,train_accuracy,val_accuracy,test_accuracy,t.l.margin,learning_reate,NpQ
0,0.0,30.0,0.00677451219962677,0.9925,0.875,0.7428571428571429,0.1,1e-05,10.0
1,1.0,30.0,0.012174569909348065,0.98,0.9,0.8,0.1,1e-05,10.0
2,2.0,30.0,0.011688556674926076,0.985,0.95,0.75,0.1,1e-05,10.0
3,3.0,30.0,0.015954233689626562,0.98125,0.9375,0.8142857142857143,0.1,1e-05,10.0
4,4.0,30.0,0.013409430876890838,0.98625,0.9,0.75,0.1,1e-05,10.0
5,5.0,30.0,0.007473285395917628,0.99125,0.9125,0.7785714285714286,0.1,1e-05,10.0
