,fold,n.epoch,train_loss,train_accuracy,val_accuracy,val_test_accuracy,t.l.margin,learning_reate,NpQ
0,0.0,30.0,0.00804281307500787,0.995,0.8125,0.45714285714285713,0.1,0.001,10.0
1,1.0,30.0,0.011366255377652124,0.9975,0.8125,0.39285714285714285,0.1,0.001,10.0
2,2.0,30.0,0.009097170681343414,0.9975,0.825,0.4714285714285714,0.1,0.001,10.0
3,3.0,30.0,0.0071485541557194665,1.0,0.775,0.4,0.1,0.001,10.0
4,4.0,30.0,0.009994375897804275,0.9975,0.825,0.4785714285714286,0.1,0.001,10.0
5,5.0,30.0,0.012575020751683041,0.9925,0.775,0.38571428571428573,0.1,0.001,10.0
