,fold,n.epoch,train_loss,train_accuracy,val_accuracy,test_accuracy,t.l.margin,learning_reate,NpQ
0,0.0,10.0,11.850003182888031,0.99,0.9125,0.9245283018867925,1.0,1e-05,10.0
1,1.0,10.0,11.826779156923294,0.985,0.875,0.9056603773584906,1.0,1e-05,10.0
2,2.0,10.0,11.781578570604324,0.9925,0.9,0.9245283018867925,1.0,1e-05,10.0
3,3.0,10.0,11.722910761833191,0.99125,0.925,0.9056603773584906,1.0,1e-05,10.0
4,4.0,10.0,11.771025091409683,0.9925,0.9125,0.8867924528301887,1.0,1e-05,10.0
5,5.0,10.0,11.716593146324158,0.9925,0.875,0.9056603773584906,1.0,1e-05,10.0
