,fold,n.epoch,train_loss,train_accuracy,val_accuracy,test_accuracy,t.l.margin,learning_reate,NpQ
0,0.0,30.0,0.019084242970166088,0.9825,0.725,0.38571428571428573,0.1,0.001,10.0
1,1.0,30.0,0.014917830600097659,0.98375,0.65,0.39285714285714285,0.1,0.001,10.0
2,2.0,30.0,0.014476540342002409,0.98875,0.725,0.37857142857142856,0.1,0.001,10.0
3,3.0,30.0,0.013566287270805333,0.98375,0.6625,0.36428571428571427,0.1,0.001,10.0
4,4.0,30.0,0.01511328083142871,0.985,0.725,0.39285714285714285,0.1,0.001,10.0
5,5.0,30.0,0.014087200208450668,0.99,0.6875,0.30714285714285716,0.1,0.001,10.0
