,fold,n.epoch,train_loss,train_accuracy,val_accuracy,test_accuracy,t.l.margin,learning_reate,NpQ
0,0.0,15.0,5.577958717942238,0.99375,0.8875,0.7857142857142857,1.0,1e-05,10.0
1,1.0,15.0,5.618024468421936,0.99875,0.9125,0.7071428571428572,1.0,1e-05,10.0
2,2.0,15.0,5.65602833032608,0.99375,0.9,0.7285714285714285,1.0,1e-05,10.0
3,3.0,15.0,5.546883374452591,0.995,0.925,0.75,1.0,1e-05,10.0
4,4.0,15.0,5.6358718276023865,0.99375,0.875,0.7571428571428571,1.0,1e-05,10.0
5,5.0,15.0,5.604365482926369,0.99375,0.9125,0.7642857142857142,1.0,1e-05,10.0
