,fold,n.epoch,train_loss,train_accuracy,val_accuracy,val_test_accuracy,t.l.margin,learning_reate,NpQ
0,0.0,30.0,0.12353762291604653,1.0,0.9,0.6357142857142857,1.0,0.001,10.0
1,1.0,30.0,0.18246817693579942,1.0,0.9,0.65,1.0,0.001,10.0
2,2.0,30.0,0.13894650049041957,1.0,0.8875,0.6285714285714286,1.0,0.001,10.0
3,3.0,30.0,0.15845508634811267,1.0,0.8125,0.6357142857142857,1.0,0.001,10.0
4,4.0,30.0,0.18036164960358292,1.0,0.9125,0.5714285714285714,1.0,0.001,10.0
5,5.0,30.0,0.13653243609587662,1.0,0.925,0.6071428571428571,1.0,0.001,10.0
