,fold,n.epoch,train_loss,train_accuracy,val_accuracy,test_accuracy,t.l.margin,learning_reate,NpQ
0,0.0,20.0,0.009089142816719686,0.95875,0.875,0.7642857142857142,0.01,1e-05,10.0
1,1.0,20.0,0.0071864158499010955,0.96125,0.9125,0.7642857142857142,0.01,1e-05,10.0
2,2.0,20.0,0.0062014743461986654,0.96125,0.9,0.7357142857142858,0.01,1e-05,10.0
3,3.0,20.0,0.00386799342913946,0.97,0.95,0.7714285714285715,0.01,1e-05,10.0
4,4.0,20.0,0.006053468538084417,0.96875,0.9375,0.7357142857142858,0.01,1e-05,10.0
5,5.0,20.0,0.007795752151650959,0.96125,0.95,0.7785714285714286,0.01,1e-05,10.0
