,fold,n.epoch,train_loss,train_accuracy,val_accuracy,test_accuracy,t.l.margin,learning_reate,NpQ
0,0.0,20.0,0.003575256449948938,0.9675,0.875,0.7642857142857142,0.001,1e-05,10.0
1,1.0,20.0,0.006983186424804444,0.95875,0.875,0.7571428571428571,0.001,1e-05,10.0
2,2.0,20.0,0.00403431949825972,0.965,0.9,0.7214285714285714,0.001,1e-05,10.0
3,3.0,20.0,0.0032022897312344867,0.9775,0.925,0.7714285714285715,0.001,1e-05,10.0
4,4.0,20.0,0.004555617279493163,0.9575,0.9,0.7714285714285715,0.001,1e-05,10.0
5,5.0,20.0,0.009532225124075921,0.94,0.95,0.7357142857142858,0.001,1e-05,10.0
